擔保品細項,細項名稱,建物分類,建物用途,EUI,EUI_Cold-dry,EUI_Cold-humid,EUI_Hot-dry,EUI_Hot-humid,EUI_Hot-marine,EUI_Mixed-dry,EUI_Mixed-humid,EUI_Mixed-marine
31,純建物(商業),食品銷售服務,超市/雜貨店,618.3,516.87,699.33,356.44,577.59,1211.96,613.18,621.37,349.66
31,純建物(商業),食品銷售服務,批發商店,162.15,135.55,183.39,93.47,151.47,317.83,160.8,162.95,91.7
31,純建物(商業),醫療保健,門診手術中心,195.58,163.5,221.22,112.75,182.71,383.37,193.97,196.56,110.61
31,純建物(商業),醫療保健,醫院(一般醫療和外科),739.12,617.87,835.98,426.09,690.46,1448.78,733.0,742.79,417.99
31,純建物(商業),醫療保健,其他/專科醫院,652.05,545.08,737.5,375.9,609.12,1278.12,646.66,655.29,368.75
31,純建物(商業),醫療保健,醫療辦公室,161.52,135.02,182.68,93.11,150.88,316.59,160.18,162.32,91.34
31,純建物(商業),醫療保健,門診復健/物理治療,195.58,163.5,221.22,112.75,182.71,383.37,193.97,196.56,110.61
31,純建物(商業),醫療保健,急診/診所/其他門診,203.47,170.09,230.14,117.3,190.08,398.83,201.79,204.48,115.07
31,純建物(商業),住宿/住宅,軍營,182.65,157.66,222.31,133.31,118.34,202.83,206.97,325.92,93.87
31,純建物(商業),住宿/住宅,酒店,198.74,171.55,241.89,145.06,128.76,220.7,225.2,354.62,102.13
31,純建物(商業),住宿/住宅,多家庭住宅,188.01,162.29,228.84,137.23,121.81,208.79,213.05,335.49,96.62
31,純建物(商業),住宿/住宅,監獄,220.51,190.34,268.38,160.94,142.86,244.87,249.86,393.46,113.32
31,純建物(商業),住宿/住宅,宿舍,182.65,157.66,222.31,133.31,118.34,202.83,206.97,325.92,93.87
31,純建物(商業),住宿/住宅,養老院,312.3,269.58,380.12,227.94,202.34,346.81,353.89,557.27,160.5
31,純建物(商業),混合用途,混合用途物業,126.5,105.75,143.08,72.92,118.17,247.96,125.45,127.13,71.54
31,純建物(商業),辦公室,醫療辦公室,161.52,135.02,182.68,93.11,150.88,316.59,160.18,162.32,91.34
31,純建物(商業),辦公室,辦公室,166.88,139.5,188.75,96.2,155.89,327.1,165.5,167.71,94.37
31,純建物(商業),辦公室,獸醫辦公室,203.47,170.09,230.14,117.3,190.08,398.83,201.79,204.48,115.07
31,純建物(商業),公共服務設施,法院,319.24,266.87,361.08,184.04,298.23,625.77,316.6,320.83,180.54
31,純建物(商業),公共服務設施,消防/警察局,200.32,167.45,226.57,115.48,187.13,392.65,198.66,201.31,113.28
31,純建物(商業),公共服務設施,圖書館,225.87,188.81,255.47,130.21,211.0,442.74,224.0,226.99,127.73
31,純建物(商業),公共服務設施,郵寄中心/郵局,151.1,126.32,170.91,87.11,141.16,296.19,149.85,151.86,85.45
31,純建物(商業),公共服務設施,交通運輸轉運站,177.29,148.2,200.52,102.2,165.62,347.51,175.82,178.17,100.26
31,純建物(商業),零售,汽車經銷商,173.5,145.04,196.24,100.02,162.08,340.09,172.07,174.36,98.12
31,純建物(商業),零售,封閉式購物中心,207.26,173.26,234.42,119.48,193.61,406.25,205.54,208.29,117.21
31,純建物(商業),零售,連鎖商場,326.5,272.94,369.29,188.22,305.0,639.99,323.8,328.12,184.64
31,純建物(商業),零售,零售店,326.5,272.94,369.29,188.22,305.0,639.99,323.8,328.12,184.64
